词语,TF-IDF值
苏珊,0.4584523973790665
mrna,0.45242012899249984
贝拉,0.2855273702974888
疫苗,0.23324771094724434
rna,0.21716166191639993
细胞,0.21713271013176647
匈牙利,0.18400114893872985
戴维,0.13472066063332216
病毒,0.1301788765678715
一切,0.10395038003316942
尼克,0.1025485625716333
dna,0.08445771471453634
我会,0.07725145573499127
修饰,0.0758478018526062
蛋白质,0.0749171339051124
免疫,0.06860778629928363
受体,0.06434419612337776
萨拉,0.0625612701589158
卡蒂,0.06032268386566665
基因,0.05943320665097001
免疫系统,0.058311927736811084
肖恩,0.054290415479099983
拥有,0.05355019577466304
蛋白,0.0492568722148703
看着,0.04830017658106862
社区,0.048258147092533316
意味着,0.04727327888260661
资金,0.04620016890363085
疗法,0.04317258564023427
事实上,0.043050157387474204
比赛,0.043050157387474204
免疫 反应,0.042225878705966655
奥运会,0.042225878705966655
碱基,0.042225878705966655
编码,0.042225878705966655
运动员,0.04066482560329527
合作社,0.0402151225771111
那天,0.03990014587131756
研究 中心,0.039202231268503036
布达佩斯,0.03820436644825554
想象,0.03804922446648824
高中,0.03689621766447345
接下来,0.03555389405666351
费城,0.03511472307991027
压力,0.03465012667772314
制备,0.03459020406044386
名为,0.03459020406044386
其他人,0.03428411212606839
核糖核酸,0.03418285419054443
试图,0.03255011900028537
期刊,0.03230554523351745
屠夫,0.03217209806168888
突破,0.03113118365439947
团队,0.03090095631032104
他会,0.03047476633428301
病原体,0.030161341932833326
知道 如何,0.029905958130456968
患者,0.029204984403687885
想要,0.028825170050369886
降解,0.02815058580397777
所有人,0.028146784122783028
玛丽亚,0.028146784122783028
临床,0.026588539817539218
要么,0.026588539817539218
外面,0.02651915644634029
特定,0.02651915644634029
说话,0.02651915644634029
2020,0.02638761011510909
约会,0.02638761011510909
职业生涯,0.02638761011510909
女孩,0.026250095967972075
房间,0.026250095967972075
拼图,0.026139829675122215
香肠,0.026139829675122215
穿着,0.025366149644325497
公寓,0.0252826006175354
姐姐,0.025200092129253192
正如,0.025200092129253192
测试,0.025200092129253192
早上,0.0242131428423107
答案,0.02415008829053431
匈牙利语,0.024129073546266658
抗原,0.024129073546266658
细胞 产生,0.024129073546266658
阿尔伯特,0.024129073546266658
体内,0.024125856681307383
合成,0.024125856681307383
专利,0.023878011694338987
外祖母,0.023878011694338987
潜在,0.023878011694338987
接种,0.023460476309593428
感染,0.023100084451815425
日子,0.023100084451815425
通常,0.023100084451815425
好像,0.023060136040295904
干活,0.02286926209976121
食物,0.022856074750712257
一次 一次,0.022473422771142577
练习,0.022473422771142577
干扰素,0.022118317417411104
